Actionality,Actuality,Additive,Addressee,Apprehension,Assessment,Attitude,Calculation,Caritive,Causation,Cause,Comitative,Comparison,Condition,Concession,Consequence,Degree of accuracy,Degree of intensity,Discourse structure,Epistemic modality,Exceptive,Exclusive,Inclusive,Instrument,Manner,Measure,Mirative,Non-existence,Non-Standard Subject,Options,Phase of action,Pluractionality,Possession,Prohibition,Purpose,Quantification,Reaction to the previous discourse,Request,Result,Root modality,Routine,Salient property,Source of information,Source of opinion,Spatial expression,Subset,Taxis,Temporal expression,Temporary characteristics,Timeline,Threat,Transformation,Volition
,,,,,,Negative,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,Personality,,,,,,,Context,,,,
,,,,,,Willing,,,,,,,,,,,,,,,,,,,"Dimensions, Distance",,,,,,,,,,,,,,,,Visual property,,,,,,,Bodily position,,,,
,,,,,,Unwilling,,,,,,,,,,,,,,,,,,,"Dimensions, Time",,,,,,,,,,,,,,,,Domain,,,,,,,Transformation,,,,
,,,,,,Concern,,,,,,,,,,,,,,,,,,,"Distance, Time",,,,,,,,,,,,,,,,Functionality,,,,,,,,,,,
,,,,,,Unconcern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Property assignment,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spatial characteristics                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,
"Major tags are listed in line 2, their values, or sub-types (sub-tags) are listed in lines 2-17.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Possible problems for programming, or What to take into account:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unspecified,"Pink color highlights all places where we have the value ""Unspecified"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"When the value is ""Unspecified"", the output should only name the major tag.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"For example, Construction xxxxxxxxxx Actuality.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"In other words, ""Unspecified"" shows that the tag named in line 1 is assigned to a certain construction, but this tag does not have any subtypes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"No subtypes can be given in the output, only the name of the major tag.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Note that sometimes the value ""Unspecified"" is not the only value in the list of sub-tags, but one value in an invenory of sub-tags (as in the case of major tag Concession - column Q).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apprehensive, Preventive","Blue color marks those cases, where a single construction has two sub-tags listed within one major tag.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,We use comma to separate these values.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimizer: Absence,"Some sub-tags have a further specification separated with a colon "":"" These cases are marked with purple color.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
